file_name,distance,text,metaphor_occurrence
image_ (3948).jpg,0.05487680435180664,"LOYALTY IS A TWO-WAY STREET. IF I'M ASKING FOR IT FROM YOU, THEN YOU'RE GETTING IT FROM ME.",1
image_ (1640).jpg,0.05489706993103027,MATT HARVEY'S FASTBALL GONNA GET YOU PREGNANT,1
image_ (997).jpg,0.05688035488128662,"A neutron walks into a bar and asks how much for a drink.
The bartender replies
""For you, No charge"".
-Dr.Sheldon Cooper
The Big Bang Theory",1
image_ (1589).jpg,0.05817270278930664,"Harry...you have your mother's eyes...
MY LIFE IS A LIE",1
image_ (3887).jpg,0.060765624046325684,DONALD TRUMP STOLE MY HAIR,1
image_ (1415).jpg,0.06373494863510132,"YOUR CRAZY EX GIRLFRIEND KNOCKING ON YOUR DOOR BE LIKE...
I LOVE YOU.",1
image_ (3065).jpg,0.06673479080200195,"AFTER WATCHING SUITS
I SHOULD BECOME A LAWYER",1
image_ (473).jpg,0.06834793090820312,"YOU'VE LET HIM INTO YOUR HEART, YOU KNOW THE REASON FOR THE SEASON..
NOW PUSH THE BUTTON TO OPEN THE DOOR...AS IT RISES WILL IT BE YOUR GIFT OR WILL YOU FIND A CLUE ONCE MORE...",1
image_ (2353).jpg,0.06986069679260254,WHAT WAS HITLERS FAVORITE DRINK?,1
image_ (2339).jpg,0.0699802041053772,"Linda Storm Soreson shared John Frank Pellicana's photo 
I'LL be damned...
Reagan used to babysit Obama!",1
image_ (836).jpg,0.07336604595184326,"CAPTAIN AMERICA'S SHIELD
HAWKEYE'S SHILED",1
image_ (1343).jpg,0.07550930976867676,"THIS BLOOD IS JUST KETCHUP GUYS
NOTHING TO WORRY ABOUT",1
image_ (2404).jpg,0.07894724607467651,"I ACCIDENTALLY UESD A SWEAR WORD
AND L KNOW MY MOM HEARD IT",1
image_ (2392).jpg,0.08134186267852783,"#PAPPUSODUFFER
AMUL IS THE TASTE OF INDIA,PAPPU IS THE WASTE OF INDIA",1
image_ (1672).jpg,0.08191835880279541,"T R A S H
TREASONOUS RECKLESS ARROGANT SCANDAL-PRONE HILLARY",1
image_ (1100).jpg,0.08233708143234253,WHAT DID THE BLACK CAT SAY WHEN HE LOST ALL HIS MONEY?I'M PAW,1
image_ (2692).jpg,0.09417074918746948,"Am I the only one that thinks
this iceberg is sexy?
""I'd hit it...""",1
image_ (3014).jpg,0.09689724445343018,HAVE YOU SEEN MY SON?,1
image_ (2075).jpg,0.1001431941986084,"Troll Bollywood Memes
NARENDRA MODI WHTH ""BILL GATES""
THIS MAN IS A BIG INSPIRATION FOR MANY PPL
True:D",1
image_ (1351).jpg,0.10074865818023682,"WHEN YOU MISS YOUR  
BEST FRIEND  
AND THERES NOTHING  YOU CAN DO ABOUT IT",1
image_ (2319).jpg,0.10411232709884644,"STEP 1. PREHEAT OVEN TO 6000
STEP 2. INSERT TURKEY",1
image_ (781).jpg,0.10751020908355713,When you wake up late you gotta scramble to get ready on time...,1
image_ (699).jpg,0.10778665542602539,"FAME IS A BEAST
The American Meme
a film by
BERT MARCUS
",1
image_ (2340).jpg,0.10813850164413452,"AFRICAN LION 
LYIN' AFRICAN
It's not racist, it's the TRUTH!",1
image_ (2940).jpg,0.10957324504852295,"Knowledge is power,and power corrupts
So study hard and he evil",1
image_ (2421).jpg,0.11229264736175537,"I OCCASIONALLY
ENJOY COCAINE",1
image_ (2274).jpg,0.11365008354187012,TRUMP AND PUTIN LIKE ASHFORD AND SIMPSON,1
image_ (2326).jpg,0.11895900964736938,"A VOTE FOR TRUMP
IS A VOTE FOR PUTIN",1
image_ (1528).jpg,0.13239240646362305,THAT MOMENT WHEN YOU FIND THE PERFECT AVOCADO AT THE SUPERMARKET,1
image_ (497).jpg,0.14286696910858154,"CHAMPA RICE
HOW COULD WE INCREASE OUR POPULATION?",1
image_ (1762).jpg,0.14313530921936035,"CLEAN EATERS BE LIKE
""I LOVE THIS DIET""",1
image_ (3927).jpg,0.14862143993377686,"Be a yardstick of quality. Some people aren't used to an environment whrer excellence is expected.
STEVE JOBS
",1
